id	text	len	date	source	likes	rt
1117877573944532993	En la Catedral de #NotreDame se coronó Napoleón y ahí se encuentran las reliquias de la Corona de espinas, nos dice… https://t.co/4fjjQS9Fdg	140	2019-04-15 19:49:17	Twitter Web Client	94	27
1117855568448847872	La construcción de #NotreDame se inició en 1163. Es además el templo de peregrinación Guadalupano más importante de… https://t.co/o6OItg2JQj	140	2019-04-15 18:21:50	Twitter Web Client	479	122
1117854577422893057	El presidente @EmmanuelMacron lamenta el incendio de #NotreDame. El fuego sigue causando daños a la estructura. La… https://t.co/NKRDNsNWMI	139	2019-04-15 18:17:54	Twitter Web Client	396	136
1117844268356386820	Se incendia la Catedral de Notre Dame en #París. La zona ha sido evacuada. https://t.co/Hc5sOF1TKT	98	2019-04-15 17:36:56	Twitter Web Client	261	134
1116133073882701830	Mala calidad del aire en la CDMX. Se activa Fase I de #ContingenciaAmbiental para la Zona Metropolitana del Valle d… https://t.co/VIBt79AYcE	140	2019-04-11 00:17:16	Twitter Web Client	145	62
1113572083106291712	Solo hay flujo lento pero no hay garitas cerradas en la frontera con EEUU, confirma Roberto Velasco, Director de Co… https://t.co/OmuYF8tjH8	140	2019-04-03 22:40:48	Twitter Web Client	112	28
1112867008377470976	Un paso importante para las personas trabajadoras del hogar. Inicia hoy el programa piloto para el acceso a la segu… https://t.co/EV1AM0ryEy	140	2019-04-01 23:59:05	Twitter Web Client	84	15
1111757628575809537	El ISSSTE con deudas millonarias y un presupuesto pobre. Se prepara para más despidos. Una conversación con… https://t.co/VSgMdBStRr	132	2019-03-29 22:30:48	Twitter Web Client	47	24
1111359833217908736	El @Infonavit anuncia que devolverá dinero a los trabajadores que hayan cotizado de 1972 a 1992, y que no hayan adq… https://t.co/AeAk34Ppzz	140	2019-03-28 20:10:06	Twitter Web Client	156	55
1111286803791642625	El #Popocatépetl con muy fuerte actividad. La alerta volcánica cambia a amarillo fase 3. https://t.co/3DOG9bIaNK	112	2019-03-28 15:19:55	Twitter for iPhone	218	55
1110641446615429122	Sigue desacuerdo de la #CNTE y bloquean otra vez la Cámara de Diputados. Wilbert Santiago, de la Sección 22, dice q… https://t.co/DL1Hbswi7H	140	2019-03-26 20:35:30	Twitter Web Client	39	11
1106653542205612032	Ni López Obrador quiere reelegirse ni está permitido en la Constitución, nos dice @mario_delgado en una conversació… https://t.co/YWe2h2CFyM	140	2019-03-15 20:28:59	Twitter for iPhone	91	25
1106637533557985280	Movilizaciones en 105 países hacen un llamado a los líderes del mundo a tomar medidas contundentes para detener el… https://t.co/3GmaWsbCNz	139	2019-03-15 19:25:22	Twitter Web Client	178	51
1105917573865066496	Todos los Estados dan el sí a la Guardia Nacional. Los 32 Congresos Locales del país aprueban la reforma constituci… https://t.co/es1nam1TR1	140	2019-03-13 19:44:31	Twitter for iPhone	163	29
1105166294280691712	En unos minutos te espero en #LasNoticasConJavierAlatorre. Acompáñanos por radio desde tu ciudad, o sigue la transm… https://t.co/nFMuZ5KtX5	140	2019-03-11 17:59:12	Twitter for iPhone	72	8
1104084207989673984	Hoy es el Día Internacional de la Mujer, un momento para reflexionar sobre temas como la economía invisible, el tra… https://t.co/AUwVWBKlzx	140	2019-03-08 18:19:22	Twitter for iPhone	376	51
1103766990563495937	Medalla de plata para Mexico. @Rommel_Pacheco y @jahir_ochampion se suben al podio en la Serie Mundial de Clavados… https://t.co/Kth6TkMQBO	139	2019-03-07 21:18:52	Twitter for iPhone	396	59
1103354841236164609	#JustoAhora iniciamos #LasNoticiasConJavierAlatorre. Te espero por radio, o por streaming en https://t.co/oEEmqtzokT	116	2019-03-06 18:01:08	Twitter Web Client	55	8
1103083143370809344	Guanajuato es el Estado con más problemas de seguridad para llevar a cabo los #CensosEconómicos2019 que realiza el… https://t.co/uMhExxIdHR	139	2019-03-06 00:01:30	Twitter Web Client	49	10
1103022620579115008	Game of Thrones, la serie que en su última temporada costó 90 millones de dólares, se acerca al final. La última ba… https://t.co/VPDP6z0NGf	140	2019-03-05 20:01:00	Twitter Web Client	189	31
1102992570802688001	"#JustoAhora inicia por radio #LasNoticiasConJavierAlatorre

🔹 Investigan 50 casos de corrupción en la compra de med… https://t.co/j4T5shDdln"	140	2019-03-05 18:01:36	Twitter Web Client	62	16
1102629595449356289	"#JustoAhora inicia #LasNoticiasConJavierAlatorre

”Yo sí temía que le hicieran algo (a AMLO)”. Hoy una conversación… https://t.co/0Dw5t8eXPl"	140	2019-03-04 17:59:16	Twitter Web Client	66	9
1102230509843820551	Sismo  magnitud 5.6 con  epicentro cercano a Huetamo Michoacán.	63	2019-03-03 15:33:26	Tweetbot for iΟS	365	69
1101942852370817024	"Me gustan los retos y voy a ganar: Saúl @Canelo Álvarez en #HECHOS. 

Vuelve a ver la entrevista completa en… https://t.co/eUY647FB1p"	133	2019-03-02 20:30:23	Twitter Web Client	114	11
1101692942085963776	El @Canelo va por @DanielJacobsTKO en Las Vegas. Esta noche en #HECHOS nos cuenta de su preparación en busca del kn… https://t.co/ZghMx397rD	140	2019-03-02 03:57:20	Twitter for iPhone	295	14
1101542615995109376	#JustoAhora inicia #LasNoticiasConJavierAlatorre. Acompáñanos por radio desde tu ciudad, o en streaming a través de https://t.co/2tcStw3i88	139	2019-03-01 17:59:59	Twitter Web Client	45	3
1101534149628870657	"▪️A pesar de la controversia, Senado aprueba candidatos para la CRE.
▪️Con 34,027 millones de pesos liquidan Fibra… https://t.co/xNQ6ni1Spm"	139	2019-03-01 17:26:21	Twitter for iPhone	64	30
1101474015472963585	Muere Christian Bach. La familia Zurita Bach informa que la actriz falleció el pasado 26 de febrero, de un paro res… https://t.co/rXYlptax2n	140	2019-03-01 13:27:24	Twitter for iPhone	754	122
1101253289499377664	Se aprueba la Guardia Nacional Civil. En San Lázaro se alcanza la mayoría calificada para reformar la Constitución,… https://t.co/NiPX38xlVs	140	2019-02-28 22:50:19	Twitter for iPhone	121	30
1101196860520304640	El PRI se adapta a las nuevas circunstancias, nos dice Claudia Ruiz Massieu en una conversación en vivo en estos mo… https://t.co/DGFo08V9uC	140	2019-02-28 19:06:05	Twitter for iPhone	78	28
1101179473494491136	▪Presentan Plan de apoyo a #migrantes. Quieren apoyar a mexicanos que mandan desde EEUU 30 mil millones USD en reme… https://t.co/6G78i86772	140	2019-02-28 17:57:00	Twitter Web Client	76	9
1099885974593683456	El buen cine y el talento no tiene fronteras. #ROMA gana 3 premios #Oscars. Felicidades @AlfonsoCuaron y @Netflix. https://t.co/W3sXlbQfHe	138	2019-02-25 04:17:05	Twitter Web Client	963	130
1099883922966630401	Alfonso Cuarón es el Mejor Director del año. Gana el #Oscar por su trabajo en #Roma. @alfonsocuaron #Oscars… https://t.co/IlwdlATGwg	132	2019-02-25 04:08:56	Twitter Web Client	1508	221
1099853752746606593	Es #Roma la Mejor Película Extranjera. Segundo Oscar para @alfonsocuaron y su equipo. #Oscars #Oscars2019 https://t.co/TME3NXalIP	129	2019-02-25 02:09:03	Twitter Web Client	1241	173
1099849980637077506	Primer Oscar de la noche para @alfonsocuaron por Mejor Fotografía en #Roma #Oscars #Oscars2019 https://t.co/GQDPQ8I4hx	118	2019-02-25 01:54:04	Twitter Web Client	570	90
1099065566948663296	@SalinasBenjamin Gracias por tu generosidad. Tu talento y dedicación abren el nuevo horizonte de #TVAZTECA… https://t.co/VH2Ifl9goz	131	2019-02-22 21:57:05	Tweetbot for iΟS	32	4
1098802187952480256	Gracias por tu confianza. #Hechos25años @AztecaNoticias @Aztecauno https://t.co/zkvA7qoBDu	90	2019-02-22 04:30:31	Twitter for iPhone	1073	117
1098794464062119937	Es un privilegio formar parte de la familia Azteca.  @ricardoBSalinas Gracias por tu apoyo.   A las  familias que d… https://t.co/PV0IEzZHyr	140	2019-02-22 03:59:49	Twitter for iPhone	835	57
1098568694979018752	Esta noche tendremos público que llega por primera vez a #HECHOS. Le informaremos con la emoción y respeto que hemo… https://t.co/tlXKGgJIpy	140	2019-02-21 13:02:41	Twitter for iPhone	1084	138
1095386941850300419	Joaquín “El Chapo” Guzmán es declarado culpable de 10 cargos por la justicia estadounidense. Podría pasar el resto… https://t.co/23CS2NpmZO	139	2019-02-12 18:19:32	Twitter Web Client	257	64
1095127670541742080	Que no existe conflicto de interés, afirma la Magistrada Yazmín Esquivel Mossa, una de las 3 candidatas a Ministra… https://t.co/UdrMprEclz	139	2019-02-12 01:09:17	Twitter Web Client	95	22
1091364528116375552	EEUU se retira unilateralmente del Tratado de Fuerzas Nucleares de Alcance Intermedio (INF) firmado con Rusia. “Rus… https://t.co/wF7xoLzllI	140	2019-02-01 15:55:54	Twitter Web Client	91	24
1091063404415107073	Que no se quitan. Liberan tren en Lázaro Cárdenas pero la #CNTE mantiene bloqueo a las vías en Caltzontzin. Demanda… https://t.co/OSZJBV6YuJ	140	2019-01-31 19:59:21	Twitter Web Client	102	15
1087889365681037313	Ellas compiten con @YalitzaAparicio por el #Oscars2019 en la categoría de Mejor Actriz #RomaCuaron https://t.co/P7xRDYFzs6	122	2019-01-23 01:46:51	Twitter for iPhone	400	82
1087708367215345664	La película #Roma de @alfonsocuaron recibe 10 nominaciones al #Oscar, incluyendo Mejor Película, Mejor Director, Me… https://t.co/ANTlybVTJK	140	2019-01-22 13:47:38	Twitter for iPhone	425	62
1087337454703726592	Aumenta el saldo fatal.  89 muertos y 51 heridos por la explosión durante la ordeña del ducto en Hidalgo.	105	2019-01-21 13:13:45	Tweetbot for iΟS	290	45
1086504720934543360	El incendio en el ducto de Pemex en Hidalgo ya fue sofocado.	60	2019-01-19 06:04:46	Tweetbot for iΟS	567	58
1086488457638227969	RT @AztecaNoticias: 🔴 Desde Tlahuelilpan, Hidalgo, Leonardo Herrera confirma que hasta el momento no se ha extinguido el incendio de ésta t…	140	2019-01-19 05:00:08	Twitter for iPhone	0	65
1086488429951623168	RT @AztecaNoticias: 🔴 El gobernador de Hidalgo, Omar Fayad, actualiza el saldo de la tragedia en Tlahuelilpan: 21 muertos y 71 heridos. htt…	140	2019-01-19 05:00:02	Twitter for iPhone	0	72
1086476436280627205	En unos minutos la crónica de la tragedia en #Hidalgo. 20 muertos y 71 heridos tras la explosión de un ducto de… https://t.co/gDUOXBdNAc	136	2019-01-19 04:12:22	Twitter for iPhone	1398	739
1083438906543165446	Falleció Alfredo del Mazo González, padre del Gobernador del Estado de México @alfredodelmazo. Descanse en paz.	111	2019-01-10 19:02:19	Twitter for iPhone	133	10
1082254389367181314	Desplazamiento complicado esta mañana en varios  estados. Pendientes del abasto de gasolinas y turbosina en Guanaju… https://t.co/3oGY7DFQVD	140	2019-01-07 12:35:28	Tweetbot for iΟS	231	39
1082251608283627521	Agua , limón y tenis. A la calle temprano con 25 millones de estudiantes.   Que tengas muy buen día. https://t.co/zXfHvIxOA1	124	2019-01-07 12:24:25	Tweetbot for iΟS	346	28
1082115794560000000	Más éxitos para @alfonsocuaron. Ganó el Golden Globe para Mejor Dirección y Mejor Película Extranjera por Roma. Fel… https://t.co/wHnPWeOVf5	140	2019-01-07 03:24:44	Twitter for iPhone	763	131
1081617334073217024	Gracias por tu apoyo para los damnificados de Nayarit #Hechos lunes 10:30pm por @AztecaUno https://t.co/o3lnI3tgYG	114	2019-01-05 18:24:02	Twitter for iPhone	302	38
1079768741368553472	¡Bienvenido 2019! Que tengas un año de bendiciones, éxito y prosperidad. Felicidades. https://t.co/gIuN6Djf20	109	2018-12-31 15:58:23	Instagram	268	16
1079768270251663361	¡Bienvenido 2019! Que tengas un año de bendiciones, éxito y prosperidad. Felicidades. https://t.co/2glZPnbLLS	109	2018-12-31 15:56:31	Instagram	352	19
1079037078489481216	Hoy, a las 3 PM, el resumen con las noticias más importantes del año. HECHOS 365 por Azteca Uno. https://t.co/qP9cJwVgnZ	120	2018-12-29 15:31:01	Twitter for iPhone	140	15
