Tweets	id	len	date	source	likes	rt
¡Toma tus precauciones! Estos son los vehículos que no podrán circular este jueves debido a la contingencia. https://t.co/KGilFjAVai	1118701927708221440	132	2019-04-18 02:24:58	TweetDeck	0	0
"RT @ElFinancieroTv: ""¿La soledad pesa?"", le preguntó @Adela_Micha a la actriz mexicana Silvia Pinal, ""pues no tanto la soledad, sino el pas…"	1118701581350920192	140	2019-04-18 02:23:36	Twitter Web Client	0	3
Los vuelos del más reciente modelo 737 de Boeing, el MAX, fueron suspendidos en todo el mundo luego de dos accident… https://t.co/NwhODZTMgN	1118700802380566528	140	2019-04-18 02:20:30	TweetDeck	0	0
"RT @ElFinancieroTv: ""Fue un placer posar para Diego Rivera, todo lo que me platicaba a mí me asustaba mucho porque me decía cosas muy fuert…"	1118698657711304704	140	2019-04-18 02:11:59	Twitter Web Client	0	5
La ganancia pasó de 3.6 a 9.7 pesos por litro. Es decir, la baja en el precio del gas LP no se reflejó para los con… https://t.co/HFWqKAzjIi	1118695643277475842	140	2019-04-18 02:00:00	TweetDeck	3	8
La serie mostrará la forma en que se organizan las grandes peleas, comenzando por el combate entre Saúl 'Canelo' Ál… https://t.co/Th4yqV5Ovt	1118693465490112512	140	2019-04-18 01:51:21	TweetDeck	3	3
La empresa se ha destacado por ser una de las cadenas de autoservicios más exitosas en el país, pero... ¿qué proyec… https://t.co/DnmVwMv4LQ	1118691868055937024	140	2019-04-18 01:45:00	TweetDeck	13	6
"RT @ElFinancieroTv: ""¿Cuál es el sentimiento que prevalece? ¿La melancolía, la nostalgia o la pasión por lo que haces?"", le preguntó @Adela…"	1118691252998934528	140	2019-04-18 01:42:33	Twitter Web Client	0	10
Los tribunales de Nueva York se han convertido en lugares donde los inmigrantes, que comparecen por asuntos no migr… https://t.co/NcGlF8GKSw	1118690200002203648	140	2019-04-18 01:38:22	TweetDeck	3	4
"RT @ElFinancieroTv: ""No me creo tan importante, la verdad, pero me encanta que la gente me quiera"", le dijo Silvia Pinal a @Adela_Micha, ""a…"	1118689711680303104	140	2019-04-18 01:36:26	Twitter Web Client	0	12
La experiencia histórica sugiere que las rentas creadas por una ventaja en una tecnología importante son valiosas,… https://t.co/dfLg5EsUn1	1118688098483752960	139	2019-04-18 01:30:01	TweetDeck	2	1
#MonerosFinancieros: Judas, de @monerorictus https://t.co/Bw4F1Cdsg1 https://t.co/QIphqHp79S	1118684317947817984	92	2019-04-18 01:15:00	TweetDeck	8	1
#EnEFyPorAdela @Adela_Micha charla con la actriz Silvia Pinal. https://t.co/xFa1zNNFcG	1118682016675794944	86	2019-04-18 01:05:51	Periscope	16	10
Las automotrices apuntan a un destino: la Luna. https://t.co/1L92AlgxE1 https://t.co/CBJTJjFdAu	1118680545418985472	95	2019-04-18 01:00:00	TweetDeck	2	0
¡Ya son vacaciones! Antes de salir a carretera asegúrate de tener seguro de auto. 🚗 #Patrocinado @BBVABancomer https://t.co/wBtmy25S8x	1118676768162848769	134	2019-04-18 00:45:00	TweetDeck	1	1
Norcorea probó el arma pese a las reuniones entre Donald Trump y Kim Jong-un para lograr la desnuclearización de Co… https://t.co/kDB0Vf9zdA	1118669906822746114	140	2019-04-18 00:17:44	TweetDeck	7	3
#MonerosFinancieros: Señales, de @Garcimonero https://t.co/QOe5NUH2Gm https://t.co/VnkgvtKauc	1118669218948550656	93	2019-04-18 00:15:00	TweetDeck	3	0
El inédito disenso en el Banco de México nos lo explica @VictorPiz en nuestro podcast #Columneando con @IsaidMera q… https://t.co/9rF14NzfmA	1118668505442811904	140	2019-04-18 00:12:10	TweetDeck	1	1
Para Gustavo de Hoyos Walther, presidente de la @Coparmex, la reforma laboral no es clara en cuanto al derecho de l… https://t.co/uT1kmnMpgI	1118665445161099265	140	2019-04-18 00:00:00	TweetDeck	4	4
#EnEFyPorAdela ¿Cuál es el sentimiento que prevalece? ¿La melancolía, la nostalgia o la pasión por lo que haces? Si… https://t.co/WKjMkj4RNf	1118661668991569921	140	2019-04-17 23:45:00	TweetDeck	1	4
"El principal motivo para hacer válido un seguro de viaje son las emergencias médicas por enfermedad o accidente. 
https://t.co/Gx3hO8ugG3"	1118660654582444032	137	2019-04-17 23:40:58	TweetDeck	2	0
La propuesta de reforma laboral pretende eliminar el rezago en los conflictos laborales, aunque se advierten riesgo… https://t.co/cuszctQ35s	1118657893853585408	140	2019-04-17 23:30:00	TweetDeck	4	4
¿Qué dijo al respecto?  https://t.co/05LnGeQXYn	1118657652542853120	47	2019-04-17 23:29:02	Twitter Web Client	1	2
.@TigerWoods no se rehabilitó hace año y medio para volver a jugar con los mejores del golf, sino para poder hacerl… https://t.co/R8SPidBzmr	1118656663962247168	140	2019-04-17 23:25:06	Twitter for Android	23	5
#MonerosFinancieros: Fábulas de policías y ladrones, de @trinomonero https://t.co/FryzpxKwMe https://t.co/dRSaNMJV0l	1118654119097454592	116	2019-04-17 23:15:00	TweetDeck	45	13
La empresa está buscando a una persona para que genere y mantenga actualizadas las playlists de música regional mex… https://t.co/jenJ8QZLno	1118653316391755776	140	2019-04-17 23:11:48	TweetDeck	16	7
#ÚLTIMAHORA Secretaría del Trabajo otorga toma de nota a Confederación de Napoleón Gómez Urrutia.… https://t.co/RzsO6p4C1l	1118649063543595009	122	2019-04-17 22:54:54	Twitter Web Client	4	4
Los nuevos campos petroleros anunciados por el Gobierno federal a inicio del año contribuirán a la economía de la e… https://t.co/oKTKjASn3Z	1118646571372023811	140	2019-04-17 22:45:00	TweetDeck	3	5
Revisa antes de que caigas en el engaño. ¡No sacrifiques tu teléfono por eso! https://t.co/eumtcWbABa	1118645232835362818	101	2019-04-17 22:39:41	Twitter Web Client	4	11
¿Es momento de que Alexa y Siri se pongan a temblar? https://t.co/emTniNaaZu	1118642255642931203	76	2019-04-17 22:27:51	Twitter Web Client	6	3
.@dw_espanol Cynthia Yarel tuvo que huir tras recibir amenazas del mismo grupo de narcotraficantes que asesinó a Ja… https://t.co/OyLbqUpWwJ	1118639023063388160	140	2019-04-17 22:15:01	Twitter Media Studio	10	9
¿Cómo le fueron a tus inversiones? Te dejamos el cierre de mercados. 😉👇 https://t.co/WtIN0mY4ww	1118635336442241024	95	2019-04-17 22:00:22	Twitter for Android	7	2
#EnEFyPorAdela Silvia Pinal le da más detalles a @Adela_Micha de cuando posó para Diego Rivera. Síguenos en nuestra… https://t.co/y7DUxUvIPO	1118631470921342976	140	2019-04-17 21:45:00	Twitter Media Studio	6	2
#Opinión Universidades de distintas regiones del país están interesadas en participar en el Hackaton Talento CDMX.… https://t.co/k8l6NrOQP7	1118627695238234112	139	2019-04-17 21:30:00	TweetDeck	1	1
El posicionamiento se suma a la opinión del director general de @Aeromexico, que detalló que los márgenes de gananc… https://t.co/89tv4gvpuk	1118623920633143296	140	2019-04-17 21:15:00	TweetDeck	4	5
#Opinión ¿Qué tienen en común personajes tan disímbolos como Frida, Zapata, Trump y el 'Chapo'. Que todos se han co… https://t.co/31bA1bfgHb	1118620145822289920	140	2019-04-17 21:00:00	TweetDeck	7	3
El vocero de la Sección 22 explicó que el Gobierno “tiene el control de las plazas; sin embargo, el problema que te… https://t.co/bpSUX6JpPO	1118616370554523648	140	2019-04-17 20:45:00	TweetDeck	8	4
El asesor de seguridad nacional de la Casa Blanca, John Bolton, destacó que la medida tiene como objetivo restringi… https://t.co/rMWJS7K1nq	1118615509338066944	140	2019-04-17 20:41:34	Twitter Web Client	3	3
Una leve debilidad del dólar dio algo de respaldo al lingote de oro, dijeron analistas. https://t.co/72a1wwi54g	1118613380854681602	111	2019-04-17 20:33:07	Twitter Web Client	5	4
#Opinión @RepensarGil hace un recorrido por la historia del fenómeno migratorio de mexicanos hacia EU; desde el Pro… https://t.co/zKdagtQME0	1118612595450073088	140	2019-04-17 20:30:00	TweetDeck	1	1
El metal rojo a tres meses en la Bolsa de Londres tocó máximo no reportado desde el 3 de julio, en 6 mil 608.50 dól… https://t.co/Trce9OwtCA	1118609777465221120	140	2019-04-17 20:18:48	Twitter Web Client	2	1
Si eres de los que dejan sus trámites a última hora, el servicio atenderá a los contribuyentes de 8 de la mañana a… https://t.co/Q5c3Vkr7tI	1118609500620173318	139	2019-04-17 20:17:42	Twitter Web Client	3	1
"""Si se pudiera usar una varita mágica y sacar a los cubanos de Venezuela, Maduro caería casi simultáneamente"", aseg… https://t.co/1jaO2fRW5v"	1118608995533623297	140	2019-04-17 20:15:41	Twitter Web Client	10	7
"Cossío Díaz argumentó que en el memorándum ""no se cita una sola norma jurídica. Es autorreferente en cuanto a su au… https://t.co/jkbbcZ0i1k"	1118608820920639490	140	2019-04-17 20:15:00	TweetDeck	25	16
Esta franquicia opera equipos en siete videojuegos diferentes y tiene oficinas en China, Corea del Sur y Estados Un… https://t.co/GHY1aIPYVd	1118608416715563009	140	2019-04-17 20:13:23	Twitter Web Client	3	4
La Comisión realizará el 25 de abril un Foro Consultivo en el que se analizarán y discutirán cuatro posibles escena… https://t.co/W6uzJllYW0	1118606174088257537	140	2019-04-17 20:04:29	Twitter Web Client	2	4
