id	text	len	date	source	likes	rt
1118943566447947778	.@VicenteFoxQue festeja vacaciones de AMLO: “descansaremos de tragar mañaneras y mentiras”, dice… https://t.co/dpZuCPFEiu	121	2019-04-18 18:25:09	TweetDeck	0	0
1118942267987742722	Congreso de EU pide al Fiscal Mueller que testifique antes del 23 de mayo por la trama rusa https://t.co/c9ARh2PfKq https://t.co/5PJZ7SALSh	139	2019-04-18 18:20:00	TweetDeck	0	0
1118941009692569601	Estos 5 patrimonios de la humanidad replantean su conservación por el incendio en Notre Dame https://t.co/VeI7VCdmhl https://t.co/4daoZr5Nbo	140	2019-04-18 18:15:00	TweetDeck	5	5
1118939751170502657	#VIDEO: La mexicana Eiza Gonzalez aparece como Madam M en el nuevo tráiler de Hobbs &amp; Shaw https://t.co/T8I5P2VjuU https://t.co/mq4U6WkrJD	142	2019-04-18 18:10:00	TweetDeck	6	3
1118938493021876224	Vladímir Putin y Kim Jong Un, se reunirán en Rusia a finales de este mes, confirma el Kremlin… https://t.co/TGmFsthYtC	118	2019-04-18 18:05:00	TweetDeck	12	4
1118937237545156608	.@CAMegalopolis mantiene Fase 1 de Contingencia Ambiental por tercer día consecutivo en la CdMx… https://t.co/h5H0y3MP3V	120	2019-04-18 18:00:00	TweetDeck	1	0
1118935976611647493	Beatriz Gutiérrez lanzará “Estás aquí”, su nueva canción, con arreglos de Armando Manzanero https://t.co/B69iTbyDsf https://t.co/p8jNko5s8t	139	2019-04-18 17:55:00	TweetDeck	21	4
1118934718769188865	La actriz británica Mya-Lecia Naylor muere de manera repentina a los 16 años de edad https://t.co/b73QpkOex5 https://t.co/Wh84C5sDKJ	132	2019-04-18 17:50:00	TweetDeck	5	1
1118933459659964417	Médicos residentes reciben del Gobierno de México sus pagos atrasados y levantan paro https://t.co/8AiTOCzGUk https://t.co/pSBitrIdbV	133	2019-04-18 17:45:00	TweetDeck	30	12
1118932202077683713	Un terremoto de 6.1 grados en Taiwan deja a seis personas heridas y varios edificios dañados https://t.co/pMdLeAuXlh https://t.co/m8SjDxnwGG	140	2019-04-18 17:40:00	TweetDeck	8	7
1118930943211786241	El monto de la evasión fiscal en sueldos y salarios de médicos en México fue de 3.4 mil millones de pesos, durante… https://t.co/rtxecZvo2S	139	2019-04-18 17:35:00	TweetDeck	7	5
1118929685608583168	Hombres armados con metralleta asaltan una taquería en la Alcaldía Álvaro Obregón de la CdMx https://t.co/6krUwpEPby https://t.co/xi6J8FB0Sk	140	2019-04-18 17:30:00	TweetDeck	6	7
1118928427392880642	El monto total de la evasión fiscal en los años 2016 y 2017 fue de 72.1 mil millones de pesos… https://t.co/cN0qdZxZyY	118	2019-04-18 17:25:00	TweetDeck	9	15
1118927168657068032	.@lopezobrador_ lamenta la muerte de Alan García; “la corrupción es la nueva peste del mundo”, dice… https://t.co/XiZhx2u66x	124	2019-04-18 17:20:00	TweetDeck	11	4
1118925911506726913	Estudio del SAT halla que outsourcing operan con un comportamiento “agresivo”, buscando beneficios económicos para… https://t.co/MQAdpKaZJV	139	2019-04-18 17:15:00	TweetDeck	26	34
1118924652594778112	Un #VIDEO muestra cómo fue el robo de una bebé cerca del Metro Hospital General https://t.co/j6rNymyWrS https://t.co/UooYWS1I4W	127	2019-04-18 17:10:00	TweetDeck	9	10
1118923399101726721	La evasión de ISR en sueldos suma 72 mil millones en 2 años; médicos eluden el pago de 3,400 millones… https://t.co/OSDbjWZH9L	126	2019-04-18 17:05:01	TweetDeck	13	18
1118922140621971456	#Opinión “El memorando”, por Jorge Javier Romero Vadillo, @Giorgioromero https://t.co/mnLoLW5ZXD https://t.co/IkyAWom30o	120	2019-04-18 17:00:01	TweetDeck	1	0
