id,text,len,date,source,likes,rt
1118982732871155713,Recuerda que los bancos tendrán horario especial estos días. https://t.co/mqu1ug6Vgy,84,2019-04-18 21:00:47,Socialbakers,0,1
1118979476619010048,"Permanece la contingencia ambiental en el Valle de México. 

https://t.co/6O4YRhyJph",84,2019-04-18 20:47:51,Socialbakers,2,6
1118975048012816384,Wall Street abrió al alza ayudado por los positivos resultados de empresas industriales y un aumento más fuerte de… https://t.co/uxtjA4AKqM,139,2019-04-18 20:30:15,Socialbakers,4,3
1118972956078682112,"Sigue en negociación los tramos de carretera que el #TrenMaya  ocupará.
#Fonatur 🚊🚦

https://t.co/VBXq8H1tK9",108,2019-04-18 20:21:56,Twitter Web Client,4,2
1118967725412556805,Un panel de expertos (tribunal de arbitraje) establecido por el OSD (órgano de solución de diferencias) concluyó qu… https://t.co/1LiSTOLXe0,140,2019-04-18 20:01:09,Twitter for Android,7,7
1118967498752217088,¿Vas a comprar auto? No olvides tener en cuenta estos aspectos: https://t.co/kZf06BjpE5,87,2019-04-18 20:00:15,Socialbakers,2,2
1118965021416067073,Se registra un ambiente tranquilo antes del largo fin de semana de festividades. https://t.co/Ve2T3xhVKR,104,2019-04-18 19:50:25,Twitter for Android,1,1
1118960100935290881,¿Qué hacer estos días santos? Te damos consejos para que aproveches estas vacaciones. https://t.co/aWTj8Te4BW,109,2019-04-18 19:30:51,Socialbakers,0,3
1118958488619712512,"El retraso en las obras afecta a las zonas colindantes, automovilistas, establecimientos comerciales, hoteles y tur… https://t.co/PITrnSbupr",140,2019-04-18 19:24:27,Twitter for Android,1,3
1118958003871453185,"Jorge Ulises Carmona, Sexto Visitador de la Comisión Nacional de los Derechos Humanos (CNDH), dijo que estos derech… https://t.co/021VsVGpNJ",140,2019-04-18 19:22:32,Twitter for Android,2,3
1118952488067952640,"Hoy llega ""El complot mongol"" a la pantalla grande.  https://t.co/TnVLuA5o97",76,2019-04-18 19:00:36,Socialbakers,8,2
1118948964672393216,Te decimos cómo actuar si violaron tus derechos de consumidor. ☝ https://t.co/rlwqhftudR,88,2019-04-18 18:46:36,Twitter for Android,5,2
1118945750392745986,La firma inició cotizaciones como una empresa independiente en SIX Swiss Exchange y en la Bolsa de Nueva York (NYSE… https://t.co/bGYUHSg7rs,140,2019-04-18 18:33:50,Twitter for Android,1,1
1118944975650050048,Vista del mar en Scheveningen (1882) y Congregación dejando la iglesia reformada en Nuenen (1884-1885) fueron sustr… https://t.co/D4mImSEX2m,140,2019-04-18 18:30:45,Socialbakers,3,1
1118944361826410496,Esta tecnología podría ser vulnerable a ataques informáticos. Entérate. https://t.co/6Dln2pOlnz,95,2019-04-18 18:28:19,Twitter for Android,17,8
1118937908965191680,"Las grandes oleadas de migración pueden ser ocasionadas por el cambio climático, fenómeno que el presidente estadou… https://t.co/4uwQGNy88F",140,2019-04-18 18:02:41,Twitter for Android,3,4
1118937336555851781,La reconstrucción del edificio cuenta con el apoyo de grandes empresas interesadas en su conservación. https://t.co/PWYMXwaoJ1,126,2019-04-18 18:00:24,Socialbakers,1,0
1118933495856996352,"El presidente mexicano expresó su pesar por este caso, y opinó que la corrupción es la nueva peste del mundo. https://t.co/SLOszZ2fBn",133,2019-04-18 17:45:08,Twitter for Android,2,2
1118932902488752130,"La red social logró una capitalización de 15,800 millones de dólares. https://t.co/amhaNwiS3m",93,2019-04-18 17:42:47,Twitter for Android,24,11
1118931893226020866,"Al respecto, durante un evento en la Casa Blanca con soldados heridos del país Trump declaró que ""estaba teniendo u… https://t.co/GADAlGV9ek",140,2019-04-18 17:38:46,Twitter for Android,5,1
1118929689018376192,"Donald Trump se refirió a estos países como una ""troika de la tiranía"". https://t.co/v9t49aHWMK",95,2019-04-18 17:30:01,Socialbakers,2,1
1118922326391738368,La primera etapa de la construcción del embalse requiere de una inversión de 772 millones de pesos que se destinará… https://t.co/fBNs7LSJNJ,140,2019-04-18 17:00:45,Socialbakers,16,3
1118915762033442816,Entre los requisitos para recibir el estímulo están tener 18 meses de antigüedad en el domicilio fiscal; que 90% de… https://t.co/VMa7anT2AO,140,2019-04-18 16:34:40,Twitter for Android,5,6
1118914696944349186,Buscan ser beneficiarias poniéndose al corriente en sus obligaciones fiscales. https://t.co/ygRvklstSO,102,2019-04-18 16:30:26,Socialbakers,3,1
1118907192319471621,Aumenta el número de vendedores ambulantes en #Puebla. https://t.co/TSJGOPaFfO,78,2019-04-18 16:00:37,Socialbakers,10,0
1118899526851424256,Esta petición se debe a que dejaron de recibir los 80 millones de pesos que aportaba anualmente a la entidad el ext… https://t.co/zW2wvPnMym,140,2019-04-18 15:30:10,Socialbakers,6,1
